date,retail_and_recreation_percent_change_from_baseline_Bolivia,grocery_and_pharmacy_percent_change_from_baseline_Bolivia,parks_percent_change_from_baseline_Bolivia,transit_stations_percent_change_from_baseline_Bolivia,workplaces_percent_change_from_baseline_Bolivia,residential_percent_change_from_baseline_Bolivia
2020-11-20,-20.166666666666668,-0.5555555555555556,-19.97826086956522,-31.5,-6.266666666666667,8.96
2020-11-21,-27.46875,-6.333333333333333,-20.91304347826087,-31.742857142857144,-6.023809523809524,6.958333333333333
2020-11-22,-28.70967741935484,-13.038461538461538,-21.382978723404257,-36.285714285714285,-6.0,7.391304347826087
2020-11-23,-22.928571428571427,-5.851851851851852,-21.5,-30.0,-10.521739130434783,9.75
2020-11-24,-20.8,-3.5185185185185186,-20.244444444444444,-30.21875,-9.73913043478261,8.64
2020-11-25,-20.25,-4.32,-18.977777777777778,-29.235294117647058,-5.318181818181818,9.04
2020-11-26,-20.93103448275862,-1.037037037037037,-20.733333333333334,-27.545454545454547,-8.511111111111111,8.96
2020-11-27,-21.161290322580644,-1.3703703703703705,-21.152173913043477,-29.675675675675677,-5.444444444444445,9.04
2020-11-28,-25.433333333333334,-3.8518518518518516,-19.5531914893617,-30.942857142857143,-2.55,6.833333333333333
2020-11-29,-28.322580645161292,-15.08,-21.085106382978722,-36.57142857142857,-5.15,8.217391304347826
2020-11-30,-21.607142857142858,-3.2962962962962963,-22.0,-29.529411764705884,-9.695652173913043,9.416666666666666
2020-12-01,-17.8,0.14814814814814814,-20.08695652173913,-29.0,-8.28888888888889,8.72
2020-12-02,-15.607142857142858,-0.2916666666666667,-16.266666666666666,-25.757575757575758,-2.813953488372093,7.68
2020-12-03,-16.24137931034483,5.346153846153846,-16.711111111111112,-25.65625,-6.488888888888889,7.884615384615385
2020-12-04,-18.483870967741936,5.222222222222222,-18.595744680851062,-28.135135135135137,-2.577777777777778,8.08
2020-12-05,-21.612903225806452,1.8148148148148149,-20.5,-27.794117647058822,-3.725,6.0
2020-12-06,-24.516129032258064,-7.64,-19.340425531914892,-32.17142857142857,-4.538461538461538,7.434782608695652
2020-12-07,-13.892857142857142,6.407407407407407,-13.108695652173912,-24.96969696969697,-7.760869565217392,7.12
2020-12-08,-12.310344827586206,3.9615384615384617,-12.044444444444444,-24.96875,-5.288888888888889,6.269230769230769
2020-12-09,-15.892857142857142,0.4166666666666667,-16.755555555555556,-23.625,-4.068181818181818,7.84
2020-12-10,-13.172413793103448,10.26923076923077,-10.28888888888889,-18.5625,-5.466666666666667,7.2
2020-12-11,-11.866666666666667,11.444444444444445,-13.217391304347826,-20.583333333333332,-2.0444444444444443,5.76
2020-12-12,-17.774193548387096,9.74074074074074,-12.772727272727273,-20.705882352941178,0.5,3.7916666666666665
2020-12-13,-16.451612903225808,1.48,-10.652173913043478,-22.61764705882353,0.41025641025641024,4.782608695652174
2020-12-14,-14.172413793103448,10.11111111111111,-12.804347826086957,-22.303030303030305,-7.6521739130434785,8.16
2020-12-15,-4.166666666666667,17.925925925925927,-7.136363636363637,-15.878787878787879,-4.4,5.153846153846154
2020-12-16,-4.964285714285714,16.08,-6.909090909090909,-15.181818181818182,0.4666666666666667,5.92
2020-12-17,-4.0344827586206895,20.08,-5.363636363636363,-11.90625,-2.2222222222222223,5.5
2020-12-18,-4.533333333333333,19.56,-2.8444444444444446,-15.666666666666666,1.2790697674418605,4.76
2020-12-19,-10.67741935483871,15.92,-6.5,-10.647058823529411,3.5,2.2083333333333335
2020-12-20,-11.233333333333333,10.708333333333334,-7.723404255319149,-15.323529411764707,4.589743589743589,4.043478260869565
2020-12-21,-4.642857142857143,20.88888888888889,-5.177777777777778,-12.21875,-5.195652173913044,6.16
2020-12-22,1.3571428571428572,25.14814814814815,-1.2272727272727273,-4.9375,-5.044444444444444,3.96
2020-12-23,11.714285714285714,38.458333333333336,4.976744186046512,5.125,1.1904761904761905,1.7692307692307692
2020-12-24,15.535714285714286,64.57692307692308,14.720930232558139,5.4375,-3.282608695652174,2.1153846153846154
2020-12-25,-27.666666666666668,-10.37037037037037,-2.8222222222222224,-39.2,-45.56521739130435,15.333333333333334
2020-12-26,-27.133333333333333,-2.2962962962962963,-16.933333333333334,-27.764705882352942,-12.878048780487806,10.666666666666666
2020-12-27,-23.366666666666667,-2.08,-12.72340425531915,-21.2,-2.725,8.217391304347826
2020-12-28,-11.206896551724139,12.0,-9.355555555555556,-15.636363636363637,-12.043478260869565,9.5
2020-12-29,-6.9655172413793105,16.807692307692307,-5.4772727272727275,-12.34375,-10.891304347826088,8.04
2020-12-30,-3.0,24.541666666666668,-2.9767441860465116,-2.875,-3.1136363636363638,6.6
2020-12-31,5.142857142857143,60.48,6.9523809523809526,3.6666666666666665,-6.391304347826087,5.64
2021-01-01,-38.7,-28.555555555555557,-12.090909090909092,-48.75,-54.06521739130435,17.25
2021-01-02,-37.354838709677416,-14.555555555555555,-19.195652173913043,-37.77777777777778,-24.977777777777778,16.833333333333332
2021-01-03,-35.56666666666667,-16.884615384615383,-18.0,-30.242424242424242,-13.048780487804878,13.869565217391305
2021-01-04,-18.821428571428573,11.518518518518519,-14.911111111111111,-19.727272727272727,-14.891304347826088,11.25
2021-01-05,-19.566666666666666,6.814814814814815,-19.622222222222224,-20.65625,-14.847826086956522,12.48
2021-01-06,-18.24137931034483,6.92,-16.84090909090909,-23.2,-9.26086956521739,12.56
2021-01-07,-18.724137931034484,9.615384615384615,-17.545454545454547,-21.90625,-11.608695652173912,11.666666666666666
2021-01-08,-17.066666666666666,9.148148148148149,-16.369565217391305,-30.2972972972973,-8.422222222222222,10.458333333333334
2021-01-09,-23.733333333333334,1.8888888888888888,-19.217391304347824,-27.97142857142857,-4.658536585365853,8.291666666666666
2021-01-10,-27.033333333333335,-5.961538461538462,-19.23404255319149,-30.37142857142857,-6.725,8.695652173913043
