date,retail_and_recreation_percent_change_from_baseline_Barbados,grocery_and_pharmacy_percent_change_from_baseline_Barbados,parks_percent_change_from_baseline_Barbados,transit_stations_percent_change_from_baseline_Barbados,workplaces_percent_change_from_baseline_Barbados,residential_percent_change_from_baseline_Barbados
2020-11-03,-17.666666666666668,-15.0,29.666666666666668,-29.666666666666668,-15.25,7.0
2020-11-04,-17.666666666666668,-13.666666666666666,35.0,-32.0,-16.125,6.25
2020-11-05,-17.0,-15.333333333333334,28.0,-32.333333333333336,-17.5,6.5
2020-11-06,-21.75,-16.666666666666668,33.0,-37.0,-15.5,7.0
2020-11-07,-12.0,-14.333333333333334,32.666666666666664,-35.666666666666664,-12.8,4.666666666666667
2020-11-08,-24.666666666666668,-26.333333333333332,17.333333333333332,-53.333333333333336,-22.5,6.5
2020-11-09,-28.666666666666668,-24.0,18.333333333333332,-41.333333333333336,-18.75,9.0
2020-11-10,-20.0,-16.0,30.666666666666668,-30.666666666666668,-14.5,6.666666666666667
2020-11-11,-17.333333333333332,-13.0,34.333333333333336,-32.666666666666664,-18.125,5.75
2020-11-12,-20.0,-15.333333333333334,26.0,-35.0,-17.625,7.0
2020-11-13,-19.25,-16.666666666666668,24.333333333333332,-35.666666666666664,-15.25,8.0
2020-11-14,-13.333333333333334,-12.333333333333334,31.0,-35.333333333333336,-13.0,4.666666666666667
2020-11-15,-19.0,-19.0,22.0,-52.0,-20.5,5.0
2020-11-16,-30.666666666666668,-26.0,21.0,-42.666666666666664,-19.375,9.666666666666666
2020-11-17,-23.666666666666668,-18.666666666666668,23.666666666666668,-35.666666666666664,-15.375,9.0
2020-11-18,-17.666666666666668,-13.666666666666666,36.0,-32.0,-16.75,6.0
2020-11-19,-14.333333333333334,-12.666666666666666,27.666666666666668,-33.0,-17.5,6.25
2020-11-20,-18.666666666666668,-15.666666666666666,6.0,-34.333333333333336,-14.75,7.0
2020-11-21,-11.333333333333334,-10.333333333333334,33.333333333333336,-35.666666666666664,-13.4,4.333333333333333
2020-11-22,-12.0,-15.333333333333334,30.666666666666668,-47.666666666666664,-15.25,4.5
2020-11-23,-19.333333333333332,-15.666666666666666,31.333333333333332,-40.0,-16.5,7.666666666666667
