date,retail_and_recreation_percent_change_from_baseline_Dominican Republic,grocery_and_pharmacy_percent_change_from_baseline_Dominican Republic,parks_percent_change_from_baseline_Dominican Republic,transit_stations_percent_change_from_baseline_Dominican Republic,workplaces_percent_change_from_baseline_Dominican Republic,residential_percent_change_from_baseline_Dominican Republic
2020-09-21,-21.238095238095237,-8.65,-25.92,-35.46153846153846,-32.54838709677419,10.923076923076923
2020-09-22,-27.8,-12.0,-30.75,-34.833333333333336,-34.61290322580645,11.307692307692308
2020-09-23,-29.681818181818183,-13.35,-32.416666666666664,-34.0,-36.096774193548384,11.857142857142858
2020-09-24,-38.59090909090909,-24.761904761904763,-20.125,-52.333333333333336,-56.29032258064516,19.0
2020-09-25,-30.0,-12.75,-30.72,-34.53846153846154,-35.03225806451613,13.0
2020-09-26,-36.041666666666664,-17.863636363636363,-33.88,-40.15384615384615,-25.9,12.6875
2020-09-27,-42.5,-20.95,-31.26923076923077,-46.46153846153846,-26.214285714285715,10.285714285714286
2020-09-28,-26.954545454545453,-9.35,-32.64,-33.75,-33.0,11.476190476190476
2020-09-29,-28.95,-11.68421052631579,-31.36,-33.416666666666664,-33.935483870967744,10.95
2020-09-30,-29.5,-12.1,-33.666666666666664,-33.23076923076923,-36.74193548387097,9.571428571428571
2020-10-01,-28.61904761904762,-9.3,-35.083333333333336,-32.75,-35.87096774193548,7.409090909090909
2020-10-02,-27.681818181818183,-8.4,-31.24,-32.083333333333336,-34.516129032258064,7.363636363636363
2020-10-03,-35.0,-14.166666666666666,-36.11538461538461,-37.53846153846154,-28.6,7.5625
2020-10-04,-39.333333333333336,-15.15,-33.57692307692308,-43.69230769230769,-30.142857142857142,6.5
2020-10-05,-25.272727272727273,-8.3,-32.12,-28.083333333333332,-35.225806451612904,6.238095238095238
2020-10-06,-26.5,-8.947368421052632,-31.5,-29.666666666666668,-34.516129032258064,6.523809523809524
2020-10-07,-26.523809523809526,-7.0,-29.695652173913043,-29.25,-33.70967741935484,8.476190476190476
2020-10-08,-26.761904761904763,-9.9,-32.083333333333336,-30.09090909090909,-33.483870967741936,10.15
2020-10-09,-28.818181818181817,-10.7,-30.56,-36.25,-31.866666666666667,10.285714285714286
2020-10-10,-34.333333333333336,-15.25,-33.69230769230769,-37.53846153846154,-23.866666666666667,10.0
2020-10-11,-39.458333333333336,-17.352941176470587,-32.26923076923077,-42.38461538461539,-25.285714285714285,8.571428571428571
2020-10-12,-24.772727272727273,-8.7,-30.8,-32.0,-32.03225806451613,9.761904761904763
2020-10-13,-26.0,-9.473684210526315,-31.916666666666668,-31.166666666666668,-32.0,10.1
2020-10-14,-27.857142857142858,-9.0,-33.130434782608695,-34.0,-32.83870967741935,11.523809523809524
2020-10-15,-27.61904761904762,-4.55,-35.125,-31.272727272727273,-32.96774193548387,11.714285714285714
2020-10-16,-26.09090909090909,0.42105263157894735,-33.64,-32.083333333333336,-31.322580645161292,11.238095238095237
2020-10-17,-33.375,-5.045454545454546,-36.15384615384615,-36.15384615384615,-24.933333333333334,10.0625
2020-10-18,-37.833333333333336,-5.75,-28.53846153846154,-38.46153846153846,-25.071428571428573,8.0
2020-10-19,-24.681818181818183,-0.2631578947368421,-32.12,-31.0,-31.548387096774192,10.142857142857142
2020-10-20,-26.45,-2.263157894736842,-31.666666666666668,-31.333333333333332,-32.096774193548384,10.428571428571429
2020-10-21,-25.818181818181817,-1.75,-27.782608695652176,-30.636363636363637,-31.516129032258064,9.954545454545455
2020-10-22,-26.857142857142858,-4.0,-28.434782608695652,-32.5,-32.225806451612904,10.0
2020-10-23,-25.318181818181817,-2.210526315789474,-24.96,-32.0,-30.466666666666665,9.619047619047619
